album_id,album_name,location
1,Graduation,https://s3.amazonaws.com/rapgenius/kanye-west-graduation-album-cover.jpeg
2,"The Best Of Snoop Dogg",https://upload.wikimedia.org/wikipedia/en/4/48/Snoop_Dogg_-_Snoopified._The_Best_Of.jpg
3,Elaenia,http://cdn.shopify.com/s/files/1/0068/0042/products/U38oB3s.png?v=1447282348
4,Nevermind,https://s3.amazonaws.com/assets.dischord.com/images.d/release/image/448163/Nirvana-Nevermind-300px.jpg
5,Antidoes,https://theindiegirlsguideto.files.wordpress.com/2009/02/foals-antidotes-cover.jpg
6,"The Dark Side Of The Moon",https://upload.wikimedia.org/wikipedia/en/3/3b/Dark_Side_of_the_Moon.png
7,Journals,https://upload.wikimedia.org/wikipedia/en/c/cc/Justin_Bieber_Journals.png
8,"In Return",http://ecx.images-amazon.com/images/I/61Qs0sDP7qL._SL1000_.jpg
9,"The Water[s]",http://imc.ulximg.com/image/src/cover/1407162570_4eb82391b321f5e35855701b9a4c6372.jpg/f8feb32e76ef414ef6e4d293c8ab2a15/1407162570_mj_waters_s_1_54.jpg
10,"Bon Iver, Bon Iver",https://upload.wikimedia.org/wikipedia/en/5/5f/Bon_iver.jpg
11,"There's No Leaving Now",https://upload.wikimedia.org/wikipedia/en/a/a6/The_Tallest_Man_on_Earth_-_There's_No_Leaving_Now.jpg
12,"Helplessness Blues",https://subpop-img.s3.amazonaws.com/asset/productable_images/attachments/000/001/412/max_960/8471.jpg?1389005467
13,Prism,http://ecx.images-amazon.com/images/I/811DR6fJ8IL._SL1500_.jpg
14,21,http://netstorage.metrolyrics.com/albums/2777347adele-21.jpg
15,Animals,http://cdn.shopify.com/s/files/1/0068/0042/products/U38oB3s.png?v=1447282348
